,X,Y,Z,Speed
2,-7662,-6584,501,279
3,-7668,-6519,502,280
4,-7680,-6368,502,282
5,-7681,-6301,503,283
6,-7678,-6190,503,285
7,-7671,-6032,503,286
8,-7662,-5899,502,288
9,-7657,-5841,503,289
10,-7653,-5806,503,290
11,-7639,-5673,504,289
12,-7635,-5634,506,279
13,-7618,-5524,512,269
14,-7614,-5500,514,256
15,-7590,-5379,518,243
16,-7563,-5247,521,229
17,-7544,-5163,521,216
18,-7525,-5093,522,193
19,-7523,-5089,522,171
20,-7503,-5014,524,158
21,-7488,-4966,525,145
22,-7482,-4945,527,136
23,-7438,-4821,533,127
24,-7435,-4812,534,124
25,-7421,-4776,534,122
26,-7409,-4758,535,120
27,-7313,-4667,537,118
28,-7299,-4657,538,118
29,-7247,-4634,539,118
30,-7217,-4628,541,118
31,-7195,-4623,541,118
32,-7157,-4615,543,121
33,-7071,-4602,547,125
34,-7061,-4601,548,131
35,-6995,-4594,552,138
36,-6945,-4590,555,145
37,-6857,-4583,563,150
38,-6850,-4582,563,155
39,-6723,-4571,574,164
40,-6643,-4562,580,174
41,-6579,-4554,586,180
42,-6539,-4549,589,186
43,-6460,-4536,594,193
44,-6384,-4521,601,194
45,-6225,-4486,615,195
46,-6190,-4478,619,201
47,-6133,-4464,624,208
48,-6026,-4437,632,216
49,-5985,-4427,637,218
50,-5842,-4392,651,220
51,-5802,-4382,654,222
52,-5744,-4367,658,226
53,-5698,-4356,663,228
54,-5562,-4321,677,230
55,-5554,-4319,677,232
56,-5393,-4277,690,236
57,-5388,-4276,691,237
58,-5342,-4265,698,238
59,-5312,-4258,701,240
60,-5112,-4222,718,244
61,-5078,-4217,721,246
62,-4941,-4203,734,249
63,-4869,-4197,740,252
64,-4760,-4186,751,253
65,-4643,-4165,762,255
66,-4612,-4158,766,256
67,-4496,-4120,775,258
68,-4439,-4095,781,258
69,-4344,-4048,789,258
70,-4253,-4002,798,259
71,-4183,-3966,804,260
72,-4108,-3930,810,262
73,-4016,-3888,818,265
74,-3933,-3855,825,266
75,-3680,-3777,843,267
76,-3660,-3771,844,268
77,-3525,-3746,851,269
78,-3518,-3745,852,270
79,-3301,-3716,860,271
80,-3276,-3713,860,273
81,-3167,-3701,862,272
82,-3062,-3686,862,264
83,-2944,-3665,861,256
